PI144134	SORBI_3010G001600	1
PI144134	SORBI_3010G002201	2
PI144134	SORBI_3010G002400	1
PI144134	SORBI_3010G002700	2
PI144134	SORBI_3010G003100	1
PI144134	SORBI_3010G004800	3
PI144134	SORBI_3010G004900	2
PI144134	SORBI_3010G005000	1
PI144134	SORBI_3010G005300	1
PI144134	SORBI_3010G006300	1
PI144134	SORBI_3010G006400	2
PI144134	SORBI_3010G007300	1
PI144134	SORBI_3010G007400	9
PI144134	SORBI_3010G008000	4
PI144134	SORBI_3010G008400	19
PI144134	SORBI_3010G008433	10
PI144134	SORBI_3010G008500	3
PI144134	SORBI_3010G009600	31
PI144134	SORBI_3010G010100	3
PI144134	SORBI_3010G011700	5
PI144134	SORBI_3010G011800	1
PI144134	SORBI_3010G011900	2
PI144134	SORBI_3010G012400	1
PI144134	SORBI_3010G012600	1
PI144134	SORBI_3010G012700	1
PI144134	SORBI_3010G013500	2
PI144134	SORBI_3010G013700	1
PI144134	SORBI_3010G014800	2
PI144134	SORBI_3010G014850	1
PI144134	SORBI_3010G016100	3
PI144134	SORBI_3010G016200	4
PI144134	SORBI_3010G016850	1
PI144134	SORBI_3010G017100	7
PI144134	SORBI_3010G017300	1
PI144134	SORBI_3010G017400	12
PI144134	SORBI_3010G018100	3
PI144134	SORBI_3010G018600	2
PI144134	SORBI_3010G019000	6
PI144134	SORBI_3010G019100	1
PI144134	SORBI_3010G020600	2
PI144134	SORBI_3010G020700	12
PI144134	SORBI_3010G021300	1
PI144134	SORBI_3010G021700	4
PI144134	SORBI_3010G021900	1
PI144134	SORBI_3010G022000	1
PI144134	SORBI_3010G022100	2
PI144134	SORBI_3010G022350	1
PI144134	SORBI_3010G023066	1
PI144134	SORBI_3010G023500	2
PI144134	SORBI_3010G023600	1
PI144134	SORBI_3010G023800	7
PI144134	SORBI_3010G024200	3
PI144134	SORBI_3010G024300	4
PI144134	SORBI_3010G024400	4
PI144134	SORBI_3010G024500	1
PI144134	SORBI_3010G025600	1
PI144134	SORBI_3010G026850	4
PI144134	SORBI_3010G027400	4
PI144134	SORBI_3010G029200	1
PI144134	SORBI_3010G029300	9
PI144134	SORBI_3010G030100	2
PI144134	SORBI_3010G032800	1
PI144134	SORBI_3010G033300	1
PI144134	SORBI_3010G035300	2
PI144134	SORBI_3010G035801	1
PI144134	SORBI_3010G036000	1
PI144134	SORBI_3010G039401	1
PI144134	SORBI_3010G039600	1
PI144134	SORBI_3010G040100	2
PI144134	SORBI_3010G040200	2
PI144134	SORBI_3010G040300	1
PI144134	SORBI_3010G040400	1
PI144134	SORBI_3010G040700	3
PI144134	SORBI_3010G041301	1
PI144134	SORBI_3010G041900	1
PI144134	SORBI_3010G043250	3
PI144134	SORBI_3010G045700	1
PI144134	SORBI_3010G045833	1
PI144134	SORBI_3010G045966	11
PI144134	SORBI_3010G046801	1
PI144134	SORBI_3010G047000	4
PI144134	SORBI_3010G047100	1
PI144134	SORBI_3010G049000	3
PI144134	SORBI_3010G050600	2
PI144134	SORBI_3010G051700	3
PI144134	SORBI_3010G052900	3
PI144134	SORBI_3010G053100	1
PI144134	SORBI_3010G053300	11
PI144134	SORBI_3010G054300	1
PI144134	SORBI_3010G054500	1
PI144134	SORBI_3010G055100	8
PI144134	SORBI_3010G055400	36
PI144134	SORBI_3010G056500	2
PI144134	SORBI_3010G056600	3
PI144134	SORBI_3010G056800	4
PI144134	SORBI_3010G056900	2
PI144134	SORBI_3010G057250	1
PI144134	SORBI_3010G057300	2
PI144134	SORBI_3010G057400	3
PI144134	SORBI_3010G057500	1
PI144134	SORBI_3010G057600	3
PI144134	SORBI_3010G057800	2
PI144134	SORBI_3010G058600	16
PI144134	SORBI_3010G058650	4
PI144134	SORBI_3010G058800	4
PI144134	SORBI_3010G059500	2
PI144134	SORBI_3010G063566	1
PI144134	SORBI_3010G063700	12
PI144134	SORBI_3010G063900	1
PI144134	SORBI_3010G064200	14
PI144134	SORBI_3010G065400	2
PI144134	SORBI_3010G065500	2
PI144134	SORBI_3010G065700	1
PI144134	SORBI_3010G067400	1
PI144134	SORBI_3010G068300	11
PI144134	SORBI_3010G069000	4
PI144134	SORBI_3010G069200	1
PI144134	SORBI_3010G069500	6
PI144134	SORBI_3010G070100	4
PI144134	SORBI_3010G070200	2
PI144134	SORBI_3010G070300	3
PI144134	SORBI_3010G070400	3
PI144134	SORBI_3010G071800	10
PI144134	SORBI_3010G071900	6
PI144134	SORBI_3010G072000	5
PI144134	SORBI_3010G073600	14
PI144134	SORBI_3010G074100	1
PI144134	SORBI_3010G074366	2
PI144134	SORBI_3010G074500	4
PI144134	SORBI_3010G074700	2
PI144134	SORBI_3010G075200	3
PI144134	SORBI_3010G075600	1
PI144134	SORBI_3010G076600	2
PI144134	SORBI_3010G077100	6
PI144134	SORBI_3010G077200	7
PI144134	SORBI_3010G078000	2
PI144134	SORBI_3010G078300	3
PI144134	SORBI_3010G078400	6
PI144134	SORBI_3010G079100	1
PI144134	SORBI_3010G079300	1
PI144134	SORBI_3010G079600	1
PI144134	SORBI_3010G079700	2
PI144134	SORBI_3010G079800	1
PI144134	SORBI_3010G079900	1
PI144134	SORBI_3010G080100	9
PI144134	SORBI_3010G080300	1
PI144134	SORBI_3010G080400	1
PI144134	SORBI_3010G080600	2
PI144134	SORBI_3010G080700	2
PI144134	SORBI_3010G080800	2
PI144134	SORBI_3010G081300	6
PI144134	SORBI_3010G081600	1
PI144134	SORBI_3010G081800	2
PI144134	SORBI_3010G081950	1
PI144134	SORBI_3010G082000	1
PI144134	SORBI_3010G082100	2
PI144134	SORBI_3010G082201	2
PI144134	SORBI_3010G082700	3
PI144134	SORBI_3010G082850	3
PI144134	SORBI_3010G082900	2
PI144134	SORBI_3010G083050	1
PI144134	SORBI_3010G083100	2
PI144134	SORBI_3010G083200	14
PI144134	SORBI_3010G083300	12
PI144134	SORBI_3010G083500	1
PI144134	SORBI_3010G083550	2
PI144134	SORBI_3010G083600	4
PI144134	SORBI_3010G084700	13
PI144134	SORBI_3010G084800	1
PI144134	SORBI_3010G084900	1
PI144134	SORBI_3010G085000	17
PI144134	SORBI_3010G085100	19
